marker,complexity,velocity
wildfire,2.8981537429759667,0.018928003427042945
evacuation,3.1596837518173366,0.006877697404925698
eaton_corp,3.451592600504614,0.004666647552582004
turbine,8.340305238262994,0.0016165456014274851
transmission_lines,10.986810075693015,0.0038461473594735307
exeloncorp,57.776107447619864,0.0004646409109997622
fastener,1.6396083341133283,0.0014816226508649404
energy_transfer_lp,8.188890896358656,0.0002968304912375976
deloitte,5.954890035229373,0.0013104391573387122
traffic_flow,3.5344291612763183,0.0009233789429124131
jones_lang_lasalle,4.574468320120603,0.0002133469155770233
elis,1.025913559468428,0.0009385577748506992
jmu,3.6756227414094007,0.00019479500987467345
small_modular_reactor,10.365887122027159,0.0004359697840052215
pjm_interconnection,36.38160126627842,0.00022852574751530954
nrg_energy,11.71393804374383,0.0003862169459852833
traffic_congestion,4.52150282976759,0.0009537366067889855
masdar,21.93396565739365,0.00026562955892000926
dominion_energy,20.752314078011015,0.000423320757389983
fedex_corp,8.896679991726673,0.0006122128881775451
nextera_energy,54.70493899116947,0.00013660948744457618
restraining_order,1.7280318517915163,0.0006417272836131017
comed,33.061143017282745,0.00016443734599810094
engie,8.65609622398717,0.00022599594219226184
pg_e,28.41575875325939,0.0003963361672774741
wec_energy,45.903681979193735,7.42076228093994e-05
xcel_energy,36.06187350189469,0.00024033150568953215
michelin,4.892841685127329,0.0002976737596786135
edf,31.06269093192743,0.00020997384181295972
amtrak,9.715477278228885,0.0004283803680360784
eversource_energy,42.6049740616939,0.00025719687450985023
intl_convention,0.8150157559284067,0.0010422797930956555
union_pacific,17.29055966039101,0.0003027333703247089
targa_resources,9.83984640086419,4.9752838019938234e-05
capitaland,24.56474060682819,9.191626007073335e-05
national_grid,19.352045024725445,0.0003836871406622355
rail_traffic,13.873912548382702,0.0005118639436966527
csx,20.686090074402774,0.00022093633154616642
rsted,43.4585806888254,7.758069657346301e-05
topcon,47.38438583206873,0.00016865368820318048
natural_gas_distribution,31.94288596434194,0.00039886597260052175
multi_utilities,48.91687824987539,0.00038200060378020375
gas_utilities,37.52232284612817,0.0003423669870524564
toa,9.307992179833649,0.00022768247907429366
american_electric_power_co,47.3373007244204,0.00013576621900356027
ameren,53.0258114325053,0.00013407968212152848
housing_market_prices,7.930864958940011,0.00046295437411773046
norfolk_southern,19.91393665707016,0.0002150334524590551
environmental_services,4.01795920982036,0.00044777554217944416
polysilicon,32.8604268109345,0.00016949695664419639
sembcorp,35.843110454959614,9.191626007073335e-05
peco,31.960596582525195,0.00016106427223403736
urbana,4.817637671305261,0.0005422216075732252
teledyne_technologies,49.55169257303046,8.348357566057433e-05
thyssenkrupp,21.805757975202113,9.444606539378106e-05
mrt,8.080284638919183,0.00030694971252978847
edison_intl,32.02704718023974,0.00011890085018324224
southern_company,43.93578967489467,0.00010034894448089238
ercot,20.666183425580748,0.0003271881551141701
air_freight_logistics,20.628605722604487,0.00040392558324661726
halliburton,5.730026813514436,0.00018889213078756212
infrastructure_bill,4.1450874970228275,0.00044524573685639647
vistra_energy,5.029430674107786,0.00011637104486019454
centerpoint_energy,40.45780579187143,0.00015853446691098963
edf_renewables,59.35880255589816,6.577493839924038e-05
borgwarner,11.075543043847397,7.42076228093994e-05
dte_energy,73.70605640967435,7.58941596914312e-05
longi_green_energy_technology,105.89410140517403,3.8790348286731506e-05
electric_rates,29.444704657217358,0.0004132015360977921
ja_solar_holdings,91.14302498197817,5.734225398908137e-05
intermodal_shipping,22.643235699335143,0.00020407096272584836
terminated_deal,2.5953329908425915,0.0005118639436966527
dof,2.0646723941859078,0.00019142193611060984
ppl_corp,17.702177861751,0.00020660076804889606
enphase_energy,77.05043942569434,7.842396501447892e-05
firstenergy,48.70283993103349,9.950567603987647e-05
wendel,5.017455754439665,0.00034489679237550405
vestas_wind_systems,26.0501545881344,0.00011046816577308321
ameresco,22.282743719599978,3.204420075860429e-05
genting_group,42.22242765260619,5.481244866603366e-05
nisource_nisource,73.68392291863147,4.469322737384283e-05
segro,44.43380958944815,2.5298053230477068e-05
canadian_solar,89.56122570339414,4.806630113790644e-05
ch_robinson,32.22248219351736,6.66182068402563e-05
food_beverage_tobacco,4.33512252963695,0.00034152371861144047
olam_group,4.795820971526325,7.08345490453358e-05
ww_grainger,5.528969042539039,0.00012649026615238536
avangrid,39.99699923456231,0.0001349229505625444
global_education_limited,1.6992737470008614,0.00021924979466413463
energy_technologies,8.049662064184899,0.000301890101883693
cheniere_energy,20.32080840298504,8.348357566057433e-05
dfi,14.23834910911383,0.00012058738706527404
camp_fire,8.093738628904665,0.00030104683344267714
e_on,21.504653140557227,7.16778174863517e-05
enersys,12.539729273482223,8.769991786565383e-05
hawaiian_electric_industries,65.62475817972577,3.4574006081652e-05
bnsf,16.446824907864443,0.0001762431041723236
winnebago,8.877744051273638,0.00017202676196724408
home_inspection,4.624565683157604,0.00016528061443911687
sjw_group,3.88460437651498,2.445478478946117e-05
clearway_energy,26.274992550194654,3.71038114046997e-05
gentrification,5.495450895612874,0.00024539111633562757
psp_investments,54.345280722726315,4.9752838019938234e-05
toll_brothers,45.71892236636448,9.191626007073335e-05
accessory_dwelling_units,5.016726740895418,0.00017877290949537132
pne,3.1961106290306605,0.0001770863726133395
board_diversity,11.971251196371586,7.673742813244712e-05
sunoco,13.919288242264178,0.0001416690980906716
hercules_capital,13.542841939102827,3.1200932317588385e-05
evergy,67.39579911004304,6.240186463517677e-05
capital_power,62.47818078267768,3.62605429636838e-05
tongwei,79.64336431215048,2.445478478946117e-05
net_bookings,54.55414403662825,7.336435436838351e-05
pacificorp,31.00664293057907,5.228264334298594e-05
saia,22.31038009202497,3.4574006081652e-05
consolidated_edison,166.52900099190353,4.469322737384283e-05
anterix,21.942485682207643,2.2768247907429363e-05
less_than_truckload_shipping,44.41458618104094,0.0001155277764191786
fluence_energy,10.760045728960069,2.1924979466413458e-05
wood_mackenzie,36.31816425476602,9.360279695276518e-05
atmos_energy,15.36188169889123,6.99912806043199e-05
tetra_tech,12.894021663617593,6.0715327753144975e-05
uniper,45.77392953925593,3.71038114046997e-05
royal_mail,4.5893487943507685,0.00011299797109613092
luna_innovations,18.1873925605461,1.3492295056254437e-05
cmm,0.12812817087411477,0.00014672870873676702
energy_technology,20.666069918776824,0.00023611516348445263
motorhome,4.264595287877455,0.00013745275588559209
jinkosolar_holding,134.97843771718402,5.312591178400185e-05
rail_tracks,5.749726851526364,0.00012058738706527404
real_estate_operating_companies,12.150696081993134,0.0001517883193828624
brake_pad,1.7160228893044132,8.264030721955844e-05
itm_power,42.97195587708497,1.5178831938286244e-05
contourglobal,68.2613337503408,2.445478478946117e-05
