cluster_id,n_elements,n_valid,beta0,beta1,beta1_ci_low,beta1_ci_high,r2,kendall_tau,kendall_p,pearson_r,pearson_p,complexity_min,complexity_max,complexity_span,complexity_mean
0,466,466,-1.9594915378117714,-1.5683256901312934,-1.645331113727072,-1.4913202665355147,0.7753842201929539,-0.7340705411523839,5.9459178962700555e-124,-0.8805590384482771,1.4373419879026607e-152,1.5350923830702068,1157.8027808906586,1156.2676885075884,39.52643254005821
1,112,112,-2.412439856015167,-1.2295273340255193,-1.3503472090606943,-1.1087074589903443,0.7871220342311106,-0.7812374513518453,2.82036978904082e-34,-0.8871989823208268,9.514417757420894e-39,1.5239357413561396,2313.648732607139,2312.124796865783,144.31761958845513
2,140,140,-5.642350114755125,-0.6138480529712136,-1.0034719459357309,-0.22422416000669626,0.06570271156398894,-0.24239309722801272,2.1564487870081653e-05,-0.2563254017142838,0.0022361465355418553,0.97703892759591,99.10762990823467,98.13059098063876,12.156839258095708
3,102,102,-1.9529905986756138,-1.2248123254603165,-1.29905531010934,-1.150569340811293,0.9146226204749308,-0.9040962919821394,2.510844649408809e-41,-0.9563590437042618,3.0688654894788712e-55,2.920086392694428,3023.7614068014227,3020.8413204087283,192.96126766953256
4,461,461,-6.616609072187305,-0.5872787283290324,-0.7091328614068144,-0.4654245952512504,0.16347891743738002,-0.28156977685097195,1.7515595197752465e-19,-0.4043252619332363,1.4716974613279867e-19,1.1152264902520188,220.80781187048382,219.6925853802318,31.42833363768976
5,331,331,-4.754947268980695,-0.7755333043401751,-0.8747427568263048,-0.6763238518540454,0.41819211383196375,-0.435682132719642,3.1119035807151915e-32,-0.6466777511496461,1.3701314537757482e-40,2.345000911066574,1630.1393912969806,1627.794390385914,144.24981316528968
6,86,86,-4.63892746093439,-0.8003433475223944,-1.1568807438242232,-0.44380595122056554,0.1917402396404754,-0.3258043199866289,9.051587601246579e-06,-0.4378815360807937,2.4836760108778824e-05,14.054014796962816,319.4659091838423,305.4118943868795,129.88562052006938
7,108,108,-6.517991191679396,-0.46366412928693723,-0.6440919647709207,-0.2832362938029538,0.19671326731740923,-0.33480567890353596,2.8674520680017866e-07,-0.44352369420067006,1.528853810760642e-06,1.2379355735091568,1817.3186361014264,1816.0807005279173,105.59717555168648
8,147,147,-6.835484669972233,-0.7583311782932254,-0.9539994236280477,-0.5626629329584031,0.2880814512098395,-0.35592048668657217,1.6452706058038612e-10,-0.5367321969193192,2.426196950685036e-12,0.5678564562689931,98.0842644524929,97.5164079962239,19.76148569759065
9,81,81,-3.7666188104739735,-1.0347104929150004,-1.3799490045455223,-0.6894719812844785,0.31057269007119803,-0.43298340563274196,1.0771148528698436e-08,-0.5572904898445676,6.527832487212052e-08,3.6963174711441686,246.453268588019,242.75695111687483,73.98070004780111
10,95,95,-5.227222894364248,-0.6381530381104251,-0.8209287018881156,-0.4553773743327346,0.3407583145911115,-0.49843191214783783,8.45000080170861e-13,-0.583745076716808,5.33878408272464e-10,2.0690053659493755,1914.0465597493712,1911.9775543834219,189.4241990553291
11,67,67,-2.016270489173017,-1.1805782791287334,-1.4674178585964743,-0.8937386996609924,0.509677809379348,-0.5450022614201719,6.989383577949143e-11,-0.7139172286612419,1.1879074898667373e-11,9.344835699238303,851.296031171337,841.9511954720987,211.02595952747322
12,242,242,-5.7282891139440615,-0.6917065005702443,-0.837215419167011,-0.5461975819734776,0.2676012593195513,-0.3723691098354611,6.521190083040407e-18,-0.5173019034563384,5.788519386261959e-18,0.6627781074900491,828.7055280697829,828.0427499622929,52.22500018016287
13,128,128,-2.8030891379976444,-1.17067963366808,-1.5082553680515645,-0.8331038992845956,0.2720931600035769,-0.3732152101820155,4.232827271422049e-10,-0.5216254978464692,2.726827438738367e-10,9.150215706292954,157.11861245613247,147.9683967498395,64.83225596241356
14,212,212,-6.083337630903546,-0.7228857867873534,-0.9063734347491759,-0.5393981388255309,0.2231352538951805,-0.28294042432701927,9.074932800131502e-10,-0.47237194444122127,3.511028595186979e-13,1.9077751386203075,416.9094170294111,415.0016418907908,36.664298545342994
15,187,187,-5.896946221077595,-0.770064048858701,-0.9391909341159094,-0.6009371636014925,0.303702524354046,-0.3603021123814118,2.6365245731031175e-13,-0.5510921196624444,3.0191990369220253e-16,2.789578670694398,262.264666403354,259.4750877326596,76.97764142870135
16,115,115,-6.821921397229571,-0.3804273553922984,-0.7275661666456377,-0.0332885441389591,0.04004582265388663,-0.19992370779810145,0.0015428874039893064,-0.20011452384543862,0.03201003565925159,5.476474457732764,321.7053648470256,316.2288903892928,54.7367765515934
17,125,125,-8.566253209855569,-0.14239454048392683,-0.3744149350413595,0.08962585407350579,0.01185587585887505,-0.04418608339017239,0.4654669154125507,-0.1088846906542652,0.2267645660939654,2.818498989546418,436.93257315650663,434.1140741669602,86.2249235423064
18,158,158,-7.699826968406636,-0.40574400341412736,-0.5811830383003012,-0.23030496852795354,0.11799385917571592,-0.2982281740173289,2.7889498853862292e-08,-0.3435023423147443,9.93043464230489e-06,0.018436732368045224,195.46409076586244,195.44565403349438,31.007973668285373
19,79,79,-5.31548149822749,-0.7963472181154573,-1.1702418563096477,-0.42245257992126684,0.18936318623572893,-0.3588828298527153,2.8969825398113884e-06,-0.43515880576604327,6.12948697265334e-05,6.809968246653275,507.61366566083944,500.80369741418616,70.26258836354334
20,134,134,-7.353363770230825,-0.5009834923759094,-0.6498943006169242,-0.35207268413489473,0.2512271298508039,-0.3779201527262797,9.637514649602269e-11,-0.5012256276875753,6.897997449881713e-10,0.12812817087411477,166.52900099190353,166.40087282102942,27.039137779686715
