p_inter,method,label,mean,std,boot_ci_low,boot_ci_high,t_ci_low,t_ci_high
0.01,kmeans,K-Means,0.5305772413829176,0.05746645709423177,0.5075468540625672,0.556201052734348,0.503682111576905,0.5574723711889302
0.01,umap_euclidean,UMAP (euclidean),0.7920012947242484,0.14106232310874658,0.7284736533735264,0.8472298190876124,0.7259820953062934,0.8580204941422034
0.01,umap_complexity,UMAP + complexity,0.8798999528763549,0.17327672916386175,0.8007702903541523,0.9511744662340957,0.798803947330345,0.9609959584223648
0.05,kmeans,K-Means,0.24396320275109637,0.14281481717114908,0.1829679109109216,0.3057881947818681,0.1771238108647717,0.31080259463742105
0.05,umap_euclidean,UMAP (euclidean),0.4157519951716705,0.18051908005416792,0.3409119929187509,0.49328986412940257,0.3312664650726491,0.5002375252706919
0.05,umap_complexity,UMAP + complexity,0.7346301745631806,0.223548694710059,0.6345791336209728,0.8219305894385432,0.6300061649025045,0.8392541842238567
0.1,kmeans,K-Means,0.1278713301470898,0.054097052297796926,0.10796619771140932,0.15333088507184692,0.10255313032686901,0.15318952996731056
0.1,umap_euclidean,UMAP (euclidean),0.23711540532588873,0.12349407104313147,0.18546792677452043,0.2908232296193294,0.17931840097025817,0.29491240968151927
0.1,umap_complexity,UMAP + complexity,0.5530473852022344,0.1642796324836142,0.4786775762456242,0.6191012698025632,0.47616215051853317,0.6299326198859356
0.2,kmeans,K-Means,0.19795196688201527,0.034317508378603534,0.18470697375940198,0.21328155026141885,0.18189087856839253,0.214013055195638
0.2,umap_euclidean,UMAP (euclidean),0.18726789150277826,0.1475265256826793,0.12629159070754262,0.2517961131355904,0.11822335215420607,0.25631243085135047
0.2,umap_complexity,UMAP + complexity,0.401077874757925,0.1209270697987557,0.347958324577408,0.45073726789224067,0.34448226396596016,0.45767348554988985
0.3,kmeans,K-Means,0.23397444858695193,0.02614096079450527,0.22284084223675937,0.24482558902613227,0.22174010233746516,0.2462087948364387
0.3,umap_euclidean,UMAP (euclidean),0.21557982521002414,0.10626679815234444,0.16900851361851643,0.2605983325545491,0.16584543275060926,0.265314217669439
0.3,umap_complexity,UMAP + complexity,0.26605808432166894,0.1203045190477961,0.21559204989148154,0.31775805914558813,0.20975383624988075,0.32236233239345713
